asset_id,district,feeder_type,customer_mix,asset_age_years,capacity_kva,avg_load_pct_90d,max_load_pct_90d,outage_count_12m,inspection_score,oil_temperature_c,critical_customers_nearby,maintenance_cost_estimate,failure_next_90d
TR00029,Din Daeng,Mixed,Government,10,2000,57,55,2,62,71,4,83463,0
TR00030,Khlong Toei,Mixed,Government,2,2000,43,48,0,94,63,9,70613,0
TR00031,Din Daeng,Underground,Residential,9,250,78,87,1,78,76,2,131215,0
TR00032,Thon Buri,Underground,Commercial,11,2000,76,108,3,66,71,1,117120,1
TR00033,Bang Khen,Underground,Mixed,12,250,84,110,2,59,82,3,126933,0
TR00034,Thon Buri,Mixed,Mixed,13,750,70,90,1,70,79,7,106205,0
TR00035,Phaya Thai,Underground,Government,4,750,48,46,0,67,61,5,75579,0
TR00036,Bang Kapi,Underground,Residential,13,250,82,103,3,50,95,2,125425,0
TR00037,Bang Kho Laem,Underground,Commercial,7,500,89,107,2,79,92,8,102029,0
TR00038,Khlong Toei,Underground,Industrial,12,500,37,59,2,68,64,0,95231,0
TR00039,Bang Kapi,Underground,Industrial,16,500,88,114,3,43,75,3,113932,0
TR00040,Thon Buri,Overhead,Government,15,750,41,56,0,80,71,14,83016,0
TR00041,Din Daeng,Underground,Commercial,8,1000,75,101,3,60,69,0,91684,0
TR00042,Bang Kho Laem,Overhead,Mixed,6,250,75,83,0,69,75,11,86062,0
TR00043,Din Daeng,Underground,Residential,9,750,72,67,3,64,84,2,82058,0
TR00044,Bang Khen,Underground,Commercial,12,1000,66,80,0,76,87,0,130415,0
TR00045,Phaya Thai,Underground,Government,8,500,68,72,1,73,68,8,64232,0
TR00046,Bang Kho Laem,Underground,Commercial,11,1000,76,98,4,62,77,5,103547,0
TR00047,Bang Kapi,Overhead,Government,2,2000,44,78,1,76,77,4,70696,0
TR00048,Phaya Thai,Mixed,Residential,11,750,65,86,3,76,80,0,104937,0
TR00049,Khlong Toei,Overhead,Government,15,750,106,133,3,45,90,0,140722,0
TR00050,Din Daeng,Overhead,Industrial,9,750,85,106,4,46,71,7,121877,0
TR00051,Lat Phrao,Overhead,Government,11,750,47,53,2,71,77,4,113824,0
TR00052,Khlong Toei,Underground,Commercial,19,750,78,90,2,68,80,8,142082,0
TR00053,Bang Kapi,Underground,Government,17,500,76,75,0,65,84,1,114441,0
TR00054,Phaya Thai,Overhead,Industrial,17,500,52,78,1,54,77,10,111981,0
TR00055,Bang Kapi,Overhead,Government,15,500,61,65,3,69,76,13,72747,0
TR00056,Khlong Toei,Mixed,Mixed,11,750,70,89,1,65,73,7,87145,0
TR00057,Bang Khen,Underground,Government,27,750,92,109,3,37,80,3,142072,1
TR00058,Khlong Toei,Overhead,Government,21,250,82,108,2,67,78,10,141156,0
TR00059,Lat Phrao,Mixed,Commercial,10,250,74,85,3,63,70,5,110094,0
TR00060,Khlong Toei,Mixed,Government,24,1000,81,93,4,60,80,5,159203,0
TR00061,Bang Khen,Underground,Mixed,23,1000,55,62,3,45,72,2,124531,0
TR00062,Khlong Toei,Underground,Commercial,13,1000,67,95,2,72,80,6,114824,0
TR00063,Phaya Thai,Overhead,Commercial,23,750,54,67,1,58,71,3,174472,0
TR00064,Bang Khen,Underground,Mixed,13,1500,58,69,1,71,70,1,83627,0
TR00065,Khlong Toei,Mixed,Mixed,6,1000,53,73,1,85,74,0,86147,0
TR00066,Bang Kapi,Mixed,Industrial,2,2000,62,69,1,85,78,3,68835,0
TR00067,Khlong Toei,Underground,Government,10,750,72,81,2,65,76,2,105259,0
TR00068,Lat Phrao,Mixed,Mixed,11,250,73,86,0,74,75,4,143582,0
TR00069,Phaya Thai,Overhead,Commercial,8,500,58,75,0,92,70,3,132446,0
TR00070,Lat Phrao,Overhead,Residential,10,1500,55,79,1,78,83,4,80912,0
TR00071,Bang Khen,Underground,Residential,11,2000,80,98,1,66,83,2,90620,0
TR00072,Bang Kapi,Mixed,Government,12,250,67,80,0,77,78,4,123480,0
TR00073,Bang Khen,Mixed,Commercial,5,1500,62,80,3,72,74,1,94345,0
TR00074,Lat Phrao,Mixed,Residential,20,750,85,101,3,54,78,11,146798,0
TR00075,Bang Khen,Mixed,Government,5,1500,73,114,3,66,77,0,90579,0
TR00076,Bang Kho Laem,Overhead,Mixed,14,1000,81,91,1,68,79,3,137395,0
TR00077,Phaya Thai,Underground,Commercial,2,250,78,105,2,63,68,0,127340,0
TR00078,Lat Phrao,Overhead,Residential,17,500,72,82,0,73,74,1,151088,0
TR00079,Phaya Thai,Mixed,Industrial,8,750,79,104,2,68,75,7,119798,0
TR00080,Phaya Thai,Underground,Industrial,9,250,68,87,0,78,68,8,116323,0
TR00081,Thon Buri,Underground,Government,19,1500,92,124,0,53,80,4,144150,0
TR00082,Thon Buri,Mixed,Government,1,1000,62,65,1,76,76,0,105600,0
TR00083,Phaya Thai,Mixed,Industrial,25,250,87,93,1,51,91,7,146305,1
TR00084,Phaya Thai,Mixed,Government,7,500,58,70,1,82,74,6,134152,0
TR00085,Din Daeng,Overhead,Mixed,26,1500,89,106,3,50,84,3,141649,1
TR00086,Lat Phrao,Mixed,Mixed,6,1500,79,105,3,62,81,10,140078,0
TR00087,Thon Buri,Mixed,Commercial,6,250,57,62,1,84,80,2,73779,0
TR00088,Bang Khen,Overhead,Residential,10,2000,64,87,0,74,74,0,130796,0
TR00089,Lat Phrao,Overhead,Government,5,250,45,62,2,58,85,7,116782,0
TR00090,Bang Kapi,Underground,Commercial,12,2000,66,71,0,85,76,3,89489,0
TR00091,Thon Buri,Overhead,Residential,3,1500,69,81,2,72,78,0,98776,0
TR00092,Bang Kho Laem,Underground,Mixed,9,750,75,78,1,93,76,0,120525,0
TR00093,Thon Buri,Mixed,Government,12,1000,90,109,3,83,80,2,118800,0
TR00094,Khlong Toei,Underground,Government,14,1500,59,68,1,63,74,2,121531,0
TR00095,Bang Kapi,Underground,Industrial,5,2000,81,98,1,87,70,6,112707,0
TR00096,Lat Phrao,Mixed,Government,11,750,53,57,2,54,79,6,92625,0
TR00097,Lat Phrao,Overhead,Mixed,20,250,71,87,2,68,64,5,100630,1
TR00098,Lat Phrao,Overhead,Government,10,250,64,107,4,37,84,5,140014,1
TR00099,Bang Khen,Overhead,Mixed,9,1000,50,80,1,86,71,6,105619,0
TR00100,Lat Phrao,Mixed,Industrial,20,500,86,102,2,48,80,3,124100,1
TR00101,Lat Phrao,Underground,Government,8,500,78,101,2,66,77,7,141050,0
TR00102,Bang Khen,Mixed,Commercial,12,2000,89,87,2,63,89,1,127706,0
TR00103,Thon Buri,Overhead,Commercial,16,1500,89,110,4,52,70,6,117230,0
TR00104,Bang Khen,Mixed,Residential,20,500,98,121,2,53,86,2,167918,0
TR00105,Bang Kapi,Overhead,Residential,22,250,45,62,3,54,83,5,129823,0
TR00106,Phaya Thai,Mixed,Industrial,18,500,91,123,1,69,76,5,121825,0
TR00107,Lat Phrao,Overhead,Mixed,4,250,73,103,0,72,81,3,75727,0
TR00108,Din Daeng,Overhead,Commercial,17,250,66,66,1,54,89,0,117730,0
TR00109,Bang Kho Laem,Mixed,Mixed,11,1000,73,95,2,53,75,0,128965,0
TR00110,Phaya Thai,Underground,Government,7,1500,78,98,3,62,76,8,137740,0
TR00111,Din Daeng,Underground,Mixed,5,1000,71,87,0,73,78,4,109295,0
TR00112,Bang Khen,Mixed,Industrial,17,2000,67,87,3,61,81,3,127938,0
TR00113,Thon Buri,Underground,Government,7,750,53,60,3,71,61,1,87189,0
TR00114,Bang Khen,Overhead,Industrial,5,250,86,94,2,75,81,3,92876,0
TR00115,Bang Khen,Mixed,Residential,13,2000,71,83,2,77,76,0,101446,0
TR00116,Thon Buri,Overhead,Mixed,17,1500,78,69,0,57,78,7,135464,0
TR00117,Bang Kapi,Overhead,Residential,7,1500,64,88,2,56,85,6,100910,0
TR00118,Khlong Toei,Overhead,Commercial,23,1000,81,108,7,51,91,2,150438,1
TR00119,Khlong Toei,Mixed,Residential,14,1500,74,101,0,67,76,8,157551,0
TR00120,Bang Kho Laem,Overhead,Residential,25,1000,53,67,3,44,69,4,101610,0
TR00121,Khlong Toei,Underground,Mixed,18,1500,69,79,2,71,86,5,144227,0
TR00122,Lat Phrao,Overhead,Industrial,11,1500,68,84,3,50,71,13,72421,0
TR00123,Bang Kapi,Mixed,Commercial,14,750,52,64,2,53,73,13,83463,0
TR00124,Bang Kapi,Mixed,Government,6,250,83,90,3,60,73,5,122888,0
TR00125,Din Daeng,Mixed,Mixed,19,500,49,72,3,39,85,1,104134,0
TR00126,Bang Kapi,Mixed,Industrial,22,750,79,109,3,47,80,0,161116,0
TR00127,Bang Kapi,Underground,Residential,15,1000,62,74,0,52,80,3,110566,0
TR00128,Phaya Thai,Mixed,Industrial,18,250,72,110,1,50,80,4,123522,1
TR00129,Bang Khen,Mixed,Residential,9,750,54,69,0,76,74,1,73530,0
TR00130,Khlong Toei,Underground,Residential,8,1000,58,78,3,62,69,9,132375,1
TR00131,Bang Kho Laem,Mixed,Residential,22,1500,77,105,1,50,75,2,134261,0
TR00132,Bang Khen,Underground,Mixed,6,2000,58,67,2,74,84,2,85238,0
TR00133,Khlong Toei,Mixed,Residential,20,750,49,55,3,51,74,2,126281,0
TR00134,Din Daeng,Overhead,Government,5,750,68,71,1,67,76,4,56315,0
TR00135,Bang Kho Laem,Underground,Industrial,1,2000,85,113,3,79,86,4,114887,0
TR00136,Lat Phrao,Underground,Government,12,500,48,73,2,61,77,0,153475,0
TR00137,Bang Khen,Overhead,Mixed,7,1000,49,61,2,88,69,2,118638,0
TR00138,Thon Buri,Underground,Mixed,16,1000,77,103,0,82,79,0,120468,0
TR00139,Bang Kapi,Overhead,Government,20,500,96,123,2,62,77,5,146233,0
TR00140,Bang Kapi,Underground,Residential,22,2000,87,115,3,38,86,2,167745,1
TR00141,Din Daeng,Mixed,Residential,4,1000,74,88,0,76,75,5,89806,0
TR00142,Bang Kho Laem,Overhead,Commercial,9,1500,56,69,2,72,67,1,110492,0
TR00143,Phaya Thai,Underground,Mixed,11,1000,90,95,1,74,71,5,125892,0
TR00144,Lat Phrao,Underground,Government,12,2000,72,70,3,85,79,9,132992,0
TR00145,Lat Phrao,Mixed,Government,10,1000,51,65,2,70,73,1,66266,0
TR00146,Lat Phrao,Underground,Commercial,6,1000,57,81,0,59,73,1,101499,0
TR00147,Bang Kapi,Underground,Residential,18,750,66,82,4,51,77,2,142512,0
TR00148,Thon Buri,Overhead,Mixed,8,500,38,51,1,69,70,9,81196,0
TR00149,Thon Buri,Mixed,Government,10,1000,79,102,3,54,76,2,109802,0
TR00150,Khlong Toei,Mixed,Mixed,16,500,65,86,1,56,71,7,118693,0
TR00151,Din Daeng,Underground,Residential,12,500,80,114,3,65,83,6,121945,0
TR00152,Bang Kapi,Mixed,Commercial,7,500,58,73,2,69,76,2,79705,0
TR00153,Phaya Thai,Mixed,Mixed,11,1500,96,116,4,55,86,6,148159,0
TR00154,Din Daeng,Underground,Industrial,15,500,56,68,2,64,77,7,101616,0
TR00155,Bang Kho Laem,Mixed,Industrial,14,1500,54,73,1,78,66,6,111987,0
TR00156,Bang Kho Laem,Overhead,Mixed,20,250,71,69,5,36,80,6,115088,0
TR00157,Din Daeng,Underground,Mixed,10,750,56,80,5,53,72,3,101183,0
TR00158,Din Daeng,Overhead,Mixed,13,1000,54,69,1,79,77,0,110015,0
TR00159,Khlong Toei,Mixed,Industrial,6,2000,58,84,4,68,78,0,105660,0
TR00160,Phaya Thai,Mixed,Industrial,27,1500,80,99,2,70,93,7,140389,0
TR00161,Khlong Toei,Mixed,Government,14,500,75,81,1,84,74,2,110486,0
TR00162,Phaya Thai,Underground,Residential,14,750,87,98,4,62,80,6,121978,0
TR00163,Thon Buri,Overhead,Commercial,18,1000,91,104,2,72,77,0,159939,0
TR00164,Bang Kapi,Overhead,Government,29,1000,69,74,0,59,67,3,151443,0
TR00165,Thon Buri,Underground,Government,16,2000,87,119,5,56,83,4,148626,1
TR00166,Din Daeng,Mixed,Residential,33,250,88,98,3,49,75,3,145359,0
TR00167,Khlong Toei,Underground,Government,17,1500,51,87,2,51,85,1,130613,0
TR00168,Bang Kho Laem,Mixed,Industrial,8,2000,52,66,2,68,73,0,65925,0
TR00169,Din Daeng,Overhead,Industrial,10,750,49,69,1,83,73,10,68111,0
TR00170,Din Daeng,Overhead,Government,12,500,66,108,6,63,77,5,129508,0
TR00171,Bang Kho Laem,Overhead,Commercial,7,500,31,39,0,91,58,5,112680,0
TR00172,Bang Khen,Underground,Mixed,9,250,57,86,1,80,78,10,70249,0
TR00173,Thon Buri,Mixed,Government,16,750,67,93,2,63,74,4,150624,0
TR00174,Din Daeng,Mixed,Government,19,250,83,101,4,63,78,0,111881,0
TR00175,Bang Kapi,Overhead,Residential,9,2000,51,76,3,53,70,0,132338,0
TR00176,Bang Khen,Mixed,Government,8,1000,34,52,2,94,61,7,58482,0
TR00177,Lat Phrao,Mixed,Commercial,21,2000,74,90,1,77,81,4,112215,0
TR00178,Bang Khen,Overhead,Industrial,1,500,80,99,3,77,73,2,103663,0
TR00179,Bang Kapi,Underground,Mixed,4,1000,28,50,0,93,74,0,39637,0
TR00180,Thon Buri,Mixed,Government,1,750,46,62,2,67,71,7,86436,0
TR00181,Khlong Toei,Mixed,Industrial,16,750,64,94,2,75,80,0,126734,0
TR00182,Bang Kapi,Overhead,Commercial,13,1500,52,75,3,52,60,10,126314,0
TR00183,Lat Phrao,Mixed,Government,10,250,76,93,0,76,70,7,91110,0
TR00184,Phaya Thai,Mixed,Commercial,12,1500,49,55,2,71,79,5,98114,0
TR00185,Khlong Toei,Underground,Commercial,16,1000,89,111,2,52,90,8,127758,1
TR00186,Bang Khen,Mixed,Government,12,250,45,64,0,66,69,0,87587,0
TR00187,Phaya Thai,Overhead,Mixed,11,2000,52,70,0,73,73,6,78101,0
TR00188,Din Daeng,Overhead,Industrial,6,2000,78,105,1,81,76,0,94383,0
TR00189,Bang Khen,Mixed,Industrial,21,1500,87,120,5,55,78,6,125011,0
TR00190,Bang Kho Laem,Mixed,Residential,12,2000,71,69,3,50,64,6,122609,0
TR00191,Bang Khen,Overhead,Residential,21,500,69,86,0,86,69,4,105528,0
TR00192,Din Daeng,Underground,Residential,6,250,73,91,0,71,80,0,123015,0
TR00193,Bang Khen,Mixed,Commercial,16,1000,53,64,1,70,67,6,116111,0
TR00194,Thon Buri,Mixed,Industrial,24,1500,88,118,5,42,78,8,180000,0
TR00195,Thon Buri,Underground,Industrial,16,750,66,66,4,48,80,3,116357,0
TR00196,Bang Kapi,Overhead,Government,9,2000,84,108,2,72,83,9,115757,0
TR00197,Phaya Thai,Overhead,Industrial,5,500,26,36,0,68,71,6,64793,0
TR00198,Bang Khen,Mixed,Government,14,1000,57,62,4,49,70,9,110751,0
TR00199,Bang Kho Laem,Mixed,Commercial,9,2000,56,68,2,76,71,7,82637,0
TR00200,Bang Kapi,Overhead,Industrial,28,250,80,91,0,72,81,8,152140,0
TR00201,Khlong Toei,Overhead,Industrial,9,750,70,86,0,62,77,5,119377,0
TR00202,Bang Kapi,Overhead,Commercial,7,1500,96,118,1,60,64,8,74155,0
TR00203,Bang Khen,Underground,Industrial,17,500,83,96,2,57,93,3,151863,0
TR00204,Thon Buri,Overhead,Commercial,28,2000,52,76,2,60,65,4,150090,0
TR00205,Din Daeng,Mixed,Mixed,8,1000,50,71,0,74,62,0,131229,0
TR00206,Din Daeng,Mixed,Mixed,14,2000,43,61,2,74,67,3,103368,0
TR00207,Khlong Toei,Mixed,Mixed,13,750,81,99,3,44,76,7,104208,0
TR00208,Bang Khen,Mixed,Mixed,8,500,76,105,3,61,74,2,112309,1
TR00209,Din Daeng,Mixed,Commercial,20,1500,85,98,2,52,85,0,148755,1
TR00210,Khlong Toei,Mixed,Commercial,18,750,50,55,2,65,76,5,98322,0
TR00211,Thon Buri,Mixed,Government,14,2000,77,79,3,62,86,4,115606,0
TR00212,Din Daeng,Mixed,Residential,15,2000,93,123,3,70,77,8,126808,0
TR00213,Bang Kho Laem,Mixed,Residential,21,250,72,77,1,56,72,3,112354,0
TR00214,Lat Phrao,Underground,Residential,9,250,73,81,0,65,78,5,85479,0
TR00215,Bang Kho Laem,Overhead,Commercial,11,750,80,93,0,58,63,8,106104,0
TR00216,Bang Khen,Mixed,Mixed,3,750,83,87,1,67,81,8,101174,0
TR00217,Bang Kho Laem,Overhead,Commercial,12,1500,87,118,3,59,79,0,115904,0
TR00218,Din Daeng,Mixed,Mixed,21,250,78,74,4,52,70,8,123708,0
TR00219,Bang Khen,Overhead,Industrial,26,500,83,95,1,65,78,2,140912,0
TR00220,Bang Khen,Mixed,Government,17,2000,81,105,5,62,82,8,114587,0
TR00221,Bang Khen,Overhead,Commercial,5,2000,76,103,3,46,77,2,116023,1
TR00222,Phaya Thai,Underground,Government,1,250,59,62,1,91,72,3,88162,0
TR00223,Thon Buri,Overhead,Residential,1,1500,65,75,2,74,76,2,53859,0
TR00224,Lat Phrao,Underground,Mixed,8,1000,64,52,0,92,78,0,99488,0
TR00225,Bang Khen,Underground,Government,24,1000,74,69,2,73,73,6,136217,0
TR00226,Din Daeng,Underground,Residential,3,250,72,93,3,69,72,2,118067,0
TR00227,Bang Kapi,Underground,Government,14,750,43,67,0,76,82,6,93979,0
TR00228,Bang Khen,Overhead,Residential,11,250,82,107,2,50,75,0,110914,1
TR00229,Din Daeng,Overhead,Commercial,13,750,68,78,3,84,70,14,121294,0
TR00230,Phaya Thai,Underground,Mixed,14,1000,81,97,4,60,81,0,141037,0
TR00231,Bang Kho Laem,Overhead,Mixed,17,500,61,73,1,70,77,6,102725,0
TR00232,Bang Khen,Overhead,Residential,21,500,81,106,4,63,80,3,140630,1
TR00233,Lat Phrao,Overhead,Industrial,12,500,35,41,3,75,73,0,110457,0
TR00234,Phaya Thai,Mixed,Government,13,500,70,105,4,59,81,8,121872,0
TR00235,Bang Kapi,Overhead,Residential,16,1000,81,110,4,44,78,6,128819,1
TR00236,Lat Phrao,Underground,Residential,13,2000,74,83,0,68,83,3,65295,0
TR00237,Thon Buri,Overhead,Government,12,500,85,98,4,43,75,3,103849,0
TR00238,Phaya Thai,Underground,Mixed,11,500,85,94,2,64,82,2,129416,1
TR00239,Phaya Thai,Overhead,Mixed,1,2000,74,93,3,70,69,2,108617,0
TR00240,Bang Khen,Underground,Commercial,17,1500,66,74,1,62,75,2,113035,0
TR00241,Bang Kapi,Underground,Commercial,23,2000,67,85,2,54,81,1,123668,0
TR00242,Bang Khen,Underground,Industrial,10,1500,39,58,0,83,76,12,79005,0
TR00243,Khlong Toei,Underground,Industrial,16,2000,60,88,2,58,85,4,106021,0
TR00244,Thon Buri,Underground,Commercial,13,2000,60,66,0,59,77,7,67551,0
TR00245,Bang Khen,Overhead,Mixed,14,1000,81,91,0,62,79,6,110024,0
TR00246,Din Daeng,Overhead,Commercial,10,1000,73,81,1,64,70,4,91650,0
TR00247,Phaya Thai,Mixed,Residential,5,250,95,114,5,56,84,0,144160,1
TR00248,Thon Buri,Overhead,Residential,10,500,85,102,2,63,77,6,114771,0
TR00249,Phaya Thai,Mixed,Mixed,1,500,62,57,0,83,66,7,83824,0
TR00250,Khlong Toei,Underground,Government,5,750,73,114,3,72,77,4,116778,0
TR00251,Bang Kho Laem,Mixed,Government,8,500,96,116,3,79,83,8,95213,0
TR00252,Khlong Toei,Mixed,Mixed,7,1000,75,105,3,58,72,6,145458,1
TR00253,Phaya Thai,Underground,Commercial,25,2000,91,115,5,34,88,7,175190,1
TR00254,Bang Kapi,Overhead,Industrial,15,2000,57,77,1,69,80,1,153973,0
TR00255,Bang Kapi,Overhead,Commercial,15,750,87,85,2,66,90,2,133915,0
TR00256,Lat Phrao,Mixed,Government,25,750,77,94,4,52,77,3,131227,0
TR00257,Bang Kapi,Overhead,Residential,26,2000,82,100,3,53,92,5,155442,1
TR00258,Bang Khen,Overhead,Commercial,4,500,76,103,3,74,80,0,108803,0
TR00259,Khlong Toei,Underground,Industrial,16,750,58,92,1,71,71,6,180000,0
TR00260,Phaya Thai,Underground,Residential,11,500,72,90,1,74,73,3,101106,0
TR00261,Bang Kho Laem,Underground,Industrial,1,750,85,84,1,100,82,5,46512,0
TR00262,Thon Buri,Mixed,Commercial,14,500,52,73,2,67,64,0,99526,0
TR00263,Din Daeng,Mixed,Mixed,21,500,93,110,3,44,79,12,121757,1
TR00264,Bang Kapi,Underground,Commercial,8,2000,64,73,3,59,70,7,91392,0
TR00265,Bang Khen,Underground,Commercial,23,250,67,95,3,54,75,3,152278,0
TR00266,Lat Phrao,Overhead,Industrial,23,250,68,72,3,59,74,0,140690,0
TR00267,Bang Khen,Mixed,Commercial,17,250,87,118,4,66,66,4,108677,0
TR00268,Bang Kapi,Underground,Industrial,25,2000,62,75,2,58,71,3,135448,1
TR00269,Phaya Thai,Overhead,Mixed,14,500,80,97,4,56,78,0,118507,0
TR00270,Lat Phrao,Overhead,Commercial,10,250,52,83,1,72,68,1,122582,0
TR00271,Phaya Thai,Mixed,Government,6,1500,78,87,2,69,70,0,126081,0
TR00272,Thon Buri,Underground,Commercial,8,1000,62,75,4,62,71,1,91316,0
TR00273,Khlong Toei,Mixed,Mixed,9,2000,78,97,2,67,82,7,96887,0
TR00274,Khlong Toei,Mixed,Industrial,17,250,68,83,3,46,78,8,129798,0
TR00275,Bang Kho Laem,Mixed,Government,18,500,64,76,1,81,80,2,142715,0
TR00276,Lat Phrao,Overhead,Industrial,12,250,31,35,0,74,67,0,84936,0
TR00277,Bang Khen,Mixed,Mixed,16,1500,48,57,2,72,69,7,125801,0
TR00278,Khlong Toei,Underground,Commercial,9,500,73,98,2,78,85,6,104451,0
TR00279,Phaya Thai,Overhead,Government,4,750,52,79,3,80,80,4,97603,0
TR00280,Bang Khen,Mixed,Commercial,7,500,69,83,4,57,71,4,80878,0
TR00281,Bang Khen,Underground,Mixed,16,500,65,80,0,76,78,0,121405,0
TR00282,Khlong Toei,Mixed,Industrial,3,1000,47,80,1,74,75,4,98916,0
TR00283,Bang Khen,Overhead,Government,24,2000,84,98,5,41,82,7,121971,1
TR00284,Thon Buri,Underground,Mixed,14,500,82,82,2,73,70,12,107535,0
TR00285,Bang Khen,Underground,Commercial,2,250,67,74,1,94,75,10,76816,0
TR00286,Din Daeng,Mixed,Industrial,22,1000,70,79,1,50,80,5,150614,0
TR00287,Thon Buri,Underground,Residential,14,750,35,49,3,61,66,4,111904,0
TR00288,Phaya Thai,Overhead,Government,13,1000,65,87,1,58,76,0,102571,0
TR00289,Phaya Thai,Mixed,Government,24,500,70,81,3,62,82,1,103321,0
TR00290,Khlong Toei,Underground,Residential,17,500,61,68,1,54,80,3,105500,0
TR00291,Lat Phrao,Overhead,Mixed,16,500,62,75,2,52,86,4,92679,0
TR00292,Din Daeng,Overhead,Residential,14,2000,60,86,1,65,86,2,118731,0
TR00293,Bang Kapi,Mixed,Commercial,16,500,86,99,2,50,77,10,113706,0
TR00294,Din Daeng,Mixed,Mixed,2,1000,46,69,2,84,72,6,69588,0
TR00295,Bang Khen,Underground,Mixed,18,250,100,124,2,60,90,2,130033,1
TR00296,Khlong Toei,Underground,Government,5,1500,68,109,3,62,86,1,124504,0
TR00297,Khlong Toei,Underground,Residential,13,250,57,77,0,63,75,5,88922,0
TR00298,Bang Khen,Underground,Industrial,4,1500,59,82,0,77,73,1,97693,0
TR00299,Din Daeng,Mixed,Residential,12,1500,63,88,3,71,77,3,127415,0
TR00300,Bang Kapi,Overhead,Government,5,2000,68,98,5,61,74,11,96891,0
TR00301,Din Daeng,Overhead,Residential,1,250,73,107,5,56,81,9,102297,0
TR00302,Thon Buri,Mixed,Government,12,2000,76,95,1,62,71,5,133465,1
TR00303,Din Daeng,Overhead,Commercial,14,750,52,65,2,58,65,3,99315,0
TR00304,Khlong Toei,Overhead,Mixed,33,1000,114,121,5,34,74,2,170436,1
TR00305,Din Daeng,Mixed,Commercial,14,1500,63,79,1,57,79,3,92616,0
TR00306,Bang Kho Laem,Mixed,Mixed,16,750,50,63,0,79,84,9,115003,0
TR00307,Lat Phrao,Overhead,Mixed,17,2000,59,83,1,64,79,5,100182,0
TR00308,Phaya Thai,Overhead,Government,14,1000,45,78,1,56,77,0,122141,0
TR00309,Lat Phrao,Underground,Mixed,15,500,75,105,2,75,79,8,148500,1
TR00310,Bang Khen,Underground,Industrial,8,1000,99,122,3,84,83,8,117791,0
TR00311,Bang Kho Laem,Overhead,Government,23,2000,47,45,2,59,63,4,125840,0
TR00312,Din Daeng,Mixed,Residential,9,500,85,100,4,65,90,2,81936,0
TR00313,Din Daeng,Mixed,Residential,8,750,77,103,2,71,72,3,118049,0
TR00314,Bang Kho Laem,Mixed,Industrial,16,250,66,83,3,68,82,12,153135,0
TR00315,Bang Khen,Mixed,Mixed,5,500,68,101,2,77,71,3,87607,0
TR00316,Lat Phrao,Underground,Government,8,1500,75,95,4,70,80,5,106769,0
TR00317,Din Daeng,Overhead,Industrial,15,1500,70,80,3,56,76,5,70420,0
TR00318,Phaya Thai,Overhead,Commercial,11,1500,78,100,0,76,75,0,98722,0
