complaint_id,created_date,district,channel,customer_type,complaint_text,outage_minutes_recent,priority,category,target_team
CP00019,2025-06-13,Bang Kapi,Call Center,Commercial,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,63,Medium,Billing,Billing Service
CP00020,2025-05-18,Bang Khen,Line OA,Government,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00021,2025-06-23,Lat Phrao,Call Center,Commercial,ไฟดับเฉพาะอาคารและเบรกเกอร์หลักไม่ตัด. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,136,High,Outage,Field Operation
CP00022,2025-06-29,Din Daeng,Mobile App,Residential,ไฟดับเฉพาะอาคารและเบรกเกอร์หลักไม่ตัด. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,136,High,Outage,Field Operation
CP00023,2025-06-21,Phaya Thai,Line OA,Government,ไฟดับเฉพาะอาคารและเบรกเกอร์หลักไม่ตัด. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,113,High,Outage,Field Operation
CP00024,2025-05-26,Khlong Toei,Line OA,Industrial,ชำระแล้วแต่ระบบยังขึ้นค้างชำระ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,31,Low,Billing,Billing Service
CP00025,2025-05-28,Phaya Thai,Field Office,Commercial,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,19,High,Safety,Emergency Safety
CP00026,2025-06-11,Bang Khen,Line OA,Mixed,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00027,2025-04-01,Phaya Thai,Field Office,Mixed,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,24,Low,Billing,Billing Service
CP00028,2025-04-24,Phaya Thai,Mobile App,Commercial,ไฟตกบ่อย เครื่องใช้ไฟฟ้าดับ ๆ ติด ๆ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,20,Low,Voltage,Power Quality
CP00029,2025-06-19,Din Daeng,Call Center,Residential,หม้อแปลงมีเสียงดังแล้วไฟดับ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,91,High,Outage,Field Operation
CP00030,2025-05-13,Bang Kho Laem,Mobile App,Commercial,หม้อแปลงมีเสียงดังแล้วไฟดับ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,53,High,Outage,Field Operation
CP00031,2025-04-22,Bang Kapi,Line OA,Industrial,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,27,High,Safety,Emergency Safety
CP00032,2025-04-30,Din Daeng,Website,Residential,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,41,Medium,Billing,Billing Service
CP00033,2025-04-07,Phaya Thai,Field Office,Industrial,ไฟดับเฉพาะอาคารและเบรกเกอร์หลักไม่ตัด. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,29,High,Outage,Field Operation
CP00034,2025-04-27,Bang Kho Laem,Call Center,Mixed,ไฟตกบ่อย เครื่องใช้ไฟฟ้าดับ ๆ ติด ๆ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,16,Medium,Voltage,Power Quality
CP00035,2025-04-18,Lat Phrao,Field Office,Government,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,11,Low,Billing,Billing Service
CP00036,2025-04-29,Bang Kapi,Field Office,Industrial,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,202,High,Outage,Field Operation
CP00037,2025-05-19,Bang Kho Laem,Field Office,Residential,ไฟตกบ่อย เครื่องใช้ไฟฟ้าดับ ๆ ติด ๆ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,29,High,Voltage,Power Quality
CP00038,2025-05-11,Bang Khen,Call Center,Mixed,หม้อแปลงมีเสียงดังแล้วไฟดับ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,146,High,Outage,Field Operation
CP00039,2025-04-22,Bang Khen,Field Office,Residential,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,17,Medium,Billing,Billing Service
CP00040,2025-04-10,Bang Khen,Call Center,Government,ไฟตกบ่อย เครื่องใช้ไฟฟ้าดับ ๆ ติด ๆ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,9,Medium,Voltage,Power Quality
CP00041,2025-05-15,Thon Buri,Field Office,Residential,มิเตอร์หมุนเร็วผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,47,High,Meter,Meter Service
CP00042,2025-06-21,Bang Kho Laem,Line OA,Mixed,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Billing,Billing Service
CP00043,2025-06-14,Bang Khen,Mobile App,Industrial,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,12,High,Voltage,Power Quality
CP00044,2025-06-13,Lat Phrao,Website,Mixed,ขอให้ตรวจสอบเลขมิเตอร์. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,29,Low,Meter,Meter Service
CP00045,2025-06-28,Lat Phrao,Mobile App,Industrial,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,25,Medium,Billing,Billing Service
CP00046,2025-05-26,Bang Khen,Field Office,Government,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,35,Medium,Billing,Billing Service
CP00047,2025-06-27,Din Daeng,Mobile App,Government,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00048,2025-06-16,Din Daeng,Mobile App,Commercial,ไฟตกบ่อย เครื่องใช้ไฟฟ้าดับ ๆ ติด ๆ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Voltage,Power Quality
CP00049,2025-04-22,Lat Phrao,Website,Commercial,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Billing,Billing Service
CP00050,2025-06-22,Phaya Thai,Mobile App,Commercial,อ่านมิเตอร์ไม่ตรงกับใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,8,Medium,Meter,Meter Service
CP00051,2025-05-21,Din Daeng,Field Office,Commercial,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Voltage,Power Quality
CP00052,2025-06-02,Phaya Thai,Line OA,Government,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,12,Medium,Billing,Billing Service
CP00053,2025-06-26,Bang Khen,Line OA,Mixed,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,6,High,Safety,Emergency Safety
CP00054,2025-05-30,Phaya Thai,Line OA,Commercial,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,2,High,Safety,Emergency Safety
CP00055,2025-04-18,Bang Kapi,Mobile App,Commercial,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,3,High,Voltage,Power Quality
CP00056,2025-05-26,Bang Kho Laem,Field Office,Mixed,ชำระแล้วแต่ระบบยังขึ้นค้างชำระ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Billing,Billing Service
CP00057,2025-04-18,Thon Buri,Call Center,Government,หม้อแปลงมีเสียงดังแล้วไฟดับ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,145,Low,Outage,Field Operation
CP00058,2025-05-30,Din Daeng,Call Center,Industrial,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,50,Low,Billing,Billing Service
CP00059,2025-05-24,Thon Buri,Line OA,Government,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,36,Low,Billing,Billing Service
CP00060,2025-05-15,Bang Kho Laem,Call Center,Mixed,ขอให้ตรวจสอบเลขมิเตอร์. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,9,Medium,Meter,Meter Service
CP00061,2025-06-06,Phaya Thai,Website,Government,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,46,Low,Billing,Billing Service
CP00062,2025-05-17,Lat Phrao,Mobile App,Industrial,ไฟดับเฉพาะอาคารและเบรกเกอร์หลักไม่ตัด. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,51,High,Outage,Field Operation
CP00063,2025-06-04,Phaya Thai,Field Office,Industrial,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,57,High,Safety,Emergency Safety
CP00064,2025-06-17,Khlong Toei,Call Center,Residential,ขอให้ตรวจสอบเลขมิเตอร์. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Meter,Meter Service
CP00065,2025-04-30,Khlong Toei,Line OA,Government,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00066,2025-06-08,Thon Buri,Mobile App,Mixed,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,5,High,Billing,Billing Service
CP00067,2025-05-23,Bang Kho Laem,Line OA,Commercial,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,6,Medium,Outage,Field Operation
CP00068,2025-06-09,Khlong Toei,Website,Industrial,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,10,High,Safety,Emergency Safety
CP00069,2025-04-28,Thon Buri,Website,Government,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,25,Medium,Voltage,Power Quality
CP00070,2025-06-08,Thon Buri,Line OA,Industrial,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,8,High,Voltage,Power Quality
CP00071,2025-04-01,Din Daeng,Field Office,Mixed,ไฟกระพริบต่อเนื่องหลังฝนตก. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Voltage,Power Quality
CP00072,2025-06-08,Lat Phrao,Website,Industrial,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,17,High,Safety,Emergency Safety
CP00073,2025-05-14,Phaya Thai,Website,Government,มีสายไฟหย่อนใกล้ทางเดิน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,26,High,Safety,Emergency Safety
CP00074,2025-05-26,Phaya Thai,Website,Government,ไฟตกบ่อย เครื่องใช้ไฟฟ้าดับ ๆ ติด ๆ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,10,Medium,Voltage,Power Quality
CP00075,2025-05-28,Bang Kapi,Line OA,Industrial,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,52,High,Billing,Billing Service
CP00076,2025-06-25,Bang Kho Laem,Mobile App,Mixed,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,27,Medium,Outage,Field Operation
CP00077,2025-05-27,Thon Buri,Website,Industrial,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,13,Medium,Voltage,Power Quality
CP00078,2025-05-16,Khlong Toei,Website,Government,ชำระแล้วแต่ระบบยังขึ้นค้างชำระ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Billing,Billing Service
CP00079,2025-06-22,Phaya Thai,Mobile App,Government,มิเตอร์หมุนเร็วผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,3,Medium,Meter,Meter Service
CP00080,2025-06-13,Thon Buri,Line OA,Government,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00081,2025-06-02,Bang Khen,Website,Government,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Low,Voltage,Power Quality
CP00082,2025-04-20,Lat Phrao,Mobile App,Commercial,อ่านมิเตอร์ไม่ตรงกับใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Low,Meter,Meter Service
CP00083,2025-06-09,Lat Phrao,Line OA,Industrial,มีสายไฟหย่อนใกล้ทางเดิน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00084,2025-06-03,Bang Kho Laem,Line OA,Industrial,ไฟตกบ่อย เครื่องใช้ไฟฟ้าดับ ๆ ติด ๆ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,22,Medium,Voltage,Power Quality
CP00085,2025-04-16,Bang Khen,Call Center,Residential,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Outage,Field Operation
CP00086,2025-04-06,Lat Phrao,Field Office,Industrial,ค่าไฟเดือนนี้สูงผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,33,Medium,Billing,Billing Service
CP00087,2025-04-29,Bang Khen,Website,Industrial,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,188,Medium,Outage,Field Operation
CP00088,2025-04-24,Khlong Toei,Mobile App,Residential,ไฟกระพริบต่อเนื่องหลังฝนตก. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,16,Medium,Voltage,Power Quality
CP00089,2025-04-26,Khlong Toei,Call Center,Mixed,หม้อแปลงมีเสียงดังแล้วไฟดับ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,60,High,Outage,Field Operation
CP00090,2025-04-07,Bang Kapi,Mobile App,Commercial,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,35,Medium,Voltage,Power Quality
CP00091,2025-06-29,Bang Kho Laem,Line OA,Government,ไฟกระพริบต่อเนื่องหลังฝนตก. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,46,High,Voltage,Power Quality
CP00092,2025-06-09,Khlong Toei,Mobile App,Residential,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,16,High,Safety,Emergency Safety
CP00093,2025-05-20,Bang Kho Laem,Call Center,Government,มิเตอร์หมุนเร็วผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Meter,Meter Service
CP00094,2025-04-02,Khlong Toei,Call Center,Commercial,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,30,High,Billing,Billing Service
CP00095,2025-05-13,Thon Buri,Call Center,Government,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Voltage,Power Quality
CP00096,2025-05-13,Bang Kapi,Mobile App,Mixed,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,11,Medium,Voltage,Power Quality
CP00097,2025-04-29,Lat Phrao,Website,Industrial,ขอให้ตรวจสอบเลขมิเตอร์. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,30,Medium,Meter,Meter Service
CP00098,2025-05-11,Din Daeng,Line OA,Mixed,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,36,Medium,Outage,Field Operation
CP00099,2025-05-25,Phaya Thai,Line OA,Mixed,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,2,High,Safety,Emergency Safety
CP00100,2025-05-04,Din Daeng,Website,Mixed,อ่านมิเตอร์ไม่ตรงกับใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Meter,Meter Service
CP00101,2025-05-12,Phaya Thai,Field Office,Residential,ขอให้ตรวจสอบเลขมิเตอร์. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,14,Low,Meter,Meter Service
CP00102,2025-06-22,Khlong Toei,Mobile App,Commercial,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00103,2025-04-06,Khlong Toei,Website,Residential,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,119,High,Outage,Field Operation
CP00104,2025-06-22,Thon Buri,Mobile App,Government,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00105,2025-05-12,Bang Kapi,Mobile App,Industrial,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,49,High,Safety,Emergency Safety
CP00106,2025-05-17,Din Daeng,Line OA,Mixed,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,25,High,Billing,Billing Service
CP00107,2025-04-06,Bang Kapi,Website,Government,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Billing,Billing Service
CP00108,2025-06-04,Bang Kapi,Website,Residential,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,5,High,Safety,Emergency Safety
CP00109,2025-05-20,Khlong Toei,Call Center,Residential,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,1,High,Safety,Emergency Safety
CP00110,2025-05-21,Bang Khen,Line OA,Commercial,หม้อแปลงมีเสียงดังแล้วไฟดับ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,98,Low,Outage,Field Operation
CP00111,2025-05-01,Phaya Thai,Website,Mixed,อ่านมิเตอร์ไม่ตรงกับใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Meter,Meter Service
CP00112,2025-05-15,Khlong Toei,Line OA,Residential,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,65,Medium,Billing,Billing Service
CP00113,2025-05-16,Din Daeng,Website,Residential,มีสายไฟหย่อนใกล้ทางเดิน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00114,2025-05-26,Bang Kho Laem,Mobile App,Government,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,87,Low,Outage,Field Operation
CP00115,2025-04-10,Bang Kapi,Website,Commercial,ไฟกระพริบต่อเนื่องหลังฝนตก. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,39,Medium,Voltage,Power Quality
CP00116,2025-06-06,Phaya Thai,Call Center,Residential,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,21,High,Safety,Emergency Safety
CP00117,2025-06-17,Lat Phrao,Website,Residential,ไฟกระพริบต่อเนื่องหลังฝนตก. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,4,Medium,Voltage,Power Quality
CP00118,2025-04-23,Thon Buri,Mobile App,Mixed,ชำระแล้วแต่ระบบยังขึ้นค้างชำระ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Billing,Billing Service
CP00119,2025-04-16,Khlong Toei,Line OA,Government,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,3,Medium,Voltage,Power Quality
CP00120,2025-04-13,Khlong Toei,Call Center,Commercial,ไฟดับเฉพาะอาคารและเบรกเกอร์หลักไม่ตัด. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,108,Low,Outage,Field Operation
CP00121,2025-05-06,Lat Phrao,Field Office,Government,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00122,2025-04-10,Bang Khen,Call Center,Industrial,มิเตอร์หมุนเร็วผิดปกติ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,19,Medium,Meter,Meter Service
CP00123,2025-04-06,Din Daeng,Line OA,Government,ไฟดับเฉพาะอาคารและเบรกเกอร์หลักไม่ตัด. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,99,Low,Outage,Field Operation
CP00124,2025-04-03,Bang Kapi,Website,Mixed,ไฟดับเฉพาะอาคารและเบรกเกอร์หลักไม่ตัด. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,87,High,Outage,Field Operation
CP00125,2025-04-15,Khlong Toei,Call Center,Industrial,กล่องไฟมีกลิ่นไหม้และมีควัน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,High,Safety,Emergency Safety
CP00126,2025-06-24,Din Daeng,Mobile App,Industrial,เสาไฟมีประกายไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,12,High,Safety,Emergency Safety
CP00127,2025-05-06,Lat Phrao,Website,Residential,อ่านมิเตอร์ไม่ตรงกับใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,24,Medium,Meter,Meter Service
CP00128,2025-04-20,Lat Phrao,Mobile App,Residential,มีสายไฟหย่อนใกล้ทางเดิน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,18,High,Safety,Emergency Safety
CP00129,2025-06-22,Din Daeng,Mobile App,Mixed,ไฟดับทั้งซอยตั้งแต่ช่วงเย็น. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,33,Medium,Outage,Field Operation
CP00130,2025-05-12,Khlong Toei,Website,Residential,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Voltage,Power Quality
CP00131,2025-05-24,Khlong Toei,Mobile App,Mixed,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,11,Medium,Billing,Billing Service
CP00132,2025-06-27,Bang Kho Laem,Mobile App,Industrial,แรงดันไฟไม่นิ่งช่วงกลางคืน. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Voltage,Power Quality
CP00133,2025-05-31,Khlong Toei,Website,Residential,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,0,Medium,Billing,Billing Service
CP00134,2025-04-24,Lat Phrao,Mobile App,Mixed,ต้องการตรวจสอบใบแจ้งค่าไฟ. กรุณาช่วยตรวจสอบและแจ้งความคืบหน้า,20,High,Billing,Billing Service
